,movie,production_budget,worldwide_gross,studio,foreign_gross,year,popularity,vote_average,vote_count,runtime_minutes,genres
496,War Dogs,"$50,000,000","$86,234,503",WB,43200000.0,2016,10.654,6.8,2387,114.0,"Comedy,Crime,Drama"
497,The Nice Guys,"$50,000,000","$59,596,747",WB,26500000.0,2016,13.743,7.1,4272,116.0,"Action,Comedy,Crime"
498,Marmaduke,"$50,000,000","$89,895,930",Fox,50100000.0,2010,8.487,5.1,367,87.0,"Comedy,Family"
499,Hereafter,"$50,000,000","$108,660,270",WB,72500000.0,2010,7.886,5.9,848,129.0,"Drama,Fantasy,Romance"
500,Zoolander 2,"$50,000,000","$55,348,693",Par.,27900000.0,2016,12.997,4.7,1374,101.0,Comedy
501,Run All Night,"$50,000,000","$66,961,644",WB,45200000.0,2015,17.592,6.4,1684,114.0,"Action,Drama,Thriller"
502,Your Highness,"$50,000,000","$26,121,638",Uni.,3300000.0,2011,0.6,3.0,4,102.0,"Adventure,Comedy,Fantasy"
504,Snowden,"$50,000,000","$35,380,918",ORF,15700000.0,2016,13.703,7.1,2427,134.0,"Biography,Drama,Thriller"
505,Dream House,"$50,000,000","$41,642,166",Uni.,17200000.0,2011,9.047,6.0,670,,"Comedy,Drama,Romance"
507,Free State of Jones,"$50,000,000","$23,237,252",STX,4200000.0,2016,8.574,6.6,787,139.0,"Action,Biography,Drama"
508,Drive Angry,"$50,000,000","$41,042,583",Sum.,18200000.0,2011,14.096,5.3,959,104.0,"Action,Fantasy,Thriller"
509,Early Man,"$50,000,000","$45,285,890",LGF,46400000.0,2018,16.675,5.9,338,89.0,"Adventure,Animation,Comedy"
510,Child 44,"$50,000,000","$8,004,221",LG/S,11700000.0,2015,26.386,6.2,903,137.0,"Crime,Drama,History"
511,Upside Down,"$50,000,000","$26,387,039",MNE,8000000.0,2013,12.454,6.2,1645,109.0,"Drama,Fantasy,Romance"
517,Shanghai,"$50,000,000","$15,505,922",Wein.,9200000.0,2015,6.824,6.1,80,105.0,"Crime,Drama,Mystery"
520,Chappie,"$49,000,000","$105,002,056",Sony,70500000.0,2015,24.52,6.7,4995,120.0,"Action,Crime,Drama"
523,Taken 3,"$48,000,000","$327,656,424",Fox,237200000.0,2015,27.679,6.1,3406,108.0,"Action,Thriller"
524,Instant Family,"$48,000,000","$119,736,188",Par.,53200000.0,2018,22.634,7.6,782,118.0,"Comedy,Drama"
525,Tooth Fairy,"$48,000,000","$112,610,386",Fox,52400000.0,2010,12.65,5.3,1058,101.0,"Comedy,Family,Fantasy"
526,The Infiltrator,"$47,500,000","$20,718,104",BG,74954901.2673389,2016,9.588,6.6,943,127.0,"Biography,Crime,Drama"
527,Arrival,"$47,000,000","$203,127,894",Par.,102800000.0,2016,25.442,7.4,10387,116.0,"Drama,Mystery,Sci-Fi"
531,Jonah Hex,"$47,000,000","$11,022,696",WB,356000.0,2010,13.467,4.6,708,81.0,"Action,Drama,Fantasy"
532,Prisoners,"$46,000,000","$113,402,302",WB,61100000.0,2013,14.358,8.0,5785,153.0,"Crime,Drama,Mystery"
533,Taken 2,"$45,000,000","$377,807,404",Fox,236300000.0,2012,16.078,6.2,4035,92.0,"Action,Thriller"
534,Pitch Perfect 3,"$45,000,000","$185,736,412",Uni.,80500000.0,2017,14.89,6.5,1884,93.0,"Comedy,Music"
536,The Muppets,"$45,000,000","$160,971,922",BV,76600000.0,2011,11.324,6.6,831,103.0,"Adventure,Comedy,Family"
537,The Girl on the Train,"$45,000,000","$174,278,214",Strand,97100.0,2010,1.595,5.9,25,80.0,Thriller
546,The Bounty Hunter,"$45,000,000","$135,808,837",Sony,69300000.0,2010,9.861,5.7,1627,110.0,"Action,Comedy,Romance"
548,Office Christmas Party,"$45,000,000","$91,323,299",Par.,59700000.0,2016,10.729,5.6,1191,105.0,Comedy
549,Blended,"$45,000,000","$127,990,741",WB,81700000.0,2014,10.613,6.7,1709,117.0,"Comedy,Romance"
550,All Eyez on Me,"$45,000,000","$54,876,855",LG/S,74954901.2673389,2017,7.249,6.4,695,139.0,"Biography,Drama,Music"
551,The Ghost Writer,"$45,000,000","$65,532,491",Sum.,44700000.0,2010,7.829,6.8,1135,128.0,"Drama,Mystery,Thriller"
552,Dredd,"$45,000,000","$41,467,606",LGF,22200000.0,2012,13.223,6.7,2788,95.0,"Action,Crime,Sci-Fi"
553,The Rum Diary,"$45,000,000","$21,544,732",FD,10800000.0,2011,12.011,5.7,652,119.0,"Comedy,Drama"
554,Welcome to Marwen,"$45,000,000","$12,874,922",Uni.,2100000.0,2018,22.032,6.6,286,116.0,"Biography,Comedy,Drama"
555,Johnny English Reborn,"$45,000,000","$164,640,401",Uni.,151800000.0,2011,15.542,6.1,1810,101.0,"Action,Adventure,Comedy"
556,Argo,"$44,500,000","$227,140,757",WB,96300000.0,2012,15.793,7.2,5127,120.0,"Biography,Drama,Thriller"
557,Charlie St. Cloud,"$44,000,000","$48,478,084",Uni.,17000000.0,2010,9.454,6.9,1398,99.0,"Drama,Fantasy,Romance"
558,The Heat,"$43,000,000","$229,727,774",Fox,70300000.0,2013,16.912,6.6,2441,117.0,"Action,Comedy,Crime"
559,A Monster Calls,"$43,000,000","$46,414,530",Focus,43600000.0,2016,11.128,7.1,1918,108.0,"Animation,Drama,Fantasy"
561,The Mechanic,"$42,500,000","$76,347,393",CBS,47000000.0,2011,14.387,6.3,1676,93.0,"Action,Crime,Thriller"
562,21 Jump Street,"$42,000,000","$202,812,429",Sony,63100000.0,2012,14.836,6.8,6527,109.0,"Action,Comedy,Crime"
563,Snatched,"$42,000,000","$57,852,177",Fox,15000000.0,2017,0.725,3.5,2,11.0,Drama
573,Here Comes the Boom,"$42,000,000","$73,239,258",Sony,27800000.0,2012,10.265,6.0,812,105.0,"Action,Comedy,Sport"
574,Red Riding Hood,"$42,000,000","$91,678,442",WB,51500000.0,2011,11.856,5.9,1884,100.0,"Fantasy,Horror,Mystery"
575,Man on a Ledge,"$42,000,000","$49,621,440",LG/S,27600000.0,2012,11.263,6.3,1460,102.0,"Action,Adventure,Crime"
576,The Warrior's Way,"$42,000,000","$8,514,325",Rela.,5400000.0,2010,8.259,6.1,203,100.0,"Action,Fantasy,Western"
577,The Big Year,"$41,000,000","$7,684,524",Fox,244000.0,2011,7.077,5.8,393,100.0,Comedy
578,The Karate Kid,"$40,000,000","$351,774,938",Sony,182500000.0,2010,12.256,6.3,3140,140.0,"Action,Drama,Family"
579,Fifty Shades of Grey,"$40,000,000","$570,998,101",Uni.,404800000.0,2015,21.229,5.4,6451,125.0,"Drama,Romance,Thriller"
580,American Hustle,"$40,000,000","$257,878,294",Sony,101100000.0,2013,12.481,6.8,4443,138.0,"Crime,Drama"
582,Lucy,"$40,000,000","$457,507,776",Uni.,336700000.0,2014,16.73,6.3,10019,89.0,"Action,Sci-Fi,Thriller"
585,Lone Survivor,"$40,000,000","$149,804,632",Uni.,29700000.0,2013,15.404,7.4,2289,121.0,"Action,Biography,Drama"
586,The Social Network,"$40,000,000","$224,922,135",Sony,128000000.0,2010,15.889,7.2,6116,120.0,"Biography,Drama"
587,Ride Along 2,"$40,000,000","$124,827,316",Uni.,33400000.0,2016,12.977,6.2,939,102.0,"Action,Comedy,Crime"
588,Get Hard,"$40,000,000","$106,511,453",WB,21400000.0,2015,12.129,6.0,1469,100.0,"Comedy,Crime"
590,The Accountant,"$40,000,000","$152,962,083",WB,68900000.0,2016,13.81,6.9,3407,128.0,"Action,Crime,Drama"
592,Dumb and Dumber To,"$40,000,000","$156,553,592",Uni.,83600000.0,2014,15.964,5.5,1842,109.0,"Adventure,Comedy"
593,The Other Woman,"$40,000,000","$195,111,193",IFC,427000.0,2011,9.15,6.2,220,109.0,"Comedy,Romance"
595,The Intern,"$40,000,000","$197,115,710",WB,118800000.0,2015,14.377,7.1,3373,121.0,"Comedy,Drama"
596,Bridge of Spies,"$40,000,000","$162,498,338",BV,93200000.0,2015,12.836,7.2,4313,142.0,"Drama,History,Thriller"
598,Hacksaw Ridge,"$40,000,000","$168,904,682",LGF,108100000.0,2016,24.074,8.1,6608,139.0,"Biography,Drama,History"
600,Unknown,"$40,000,000","$136,123,083",WB,67099999.0,2011,12.08,6.6,2043,113.0,"Action,Mystery,Thriller"
604,Get Him to the Greek,"$40,000,000","$91,455,875",Uni.,30300000.0,2010,8.485,5.9,980,109.0,"Adventure,Comedy,Music"
605,The Lincoln Lawyer,"$40,000,000","$87,145,086",LGF,17000000.0,2011,11.812,7.1,1525,118.0,"Crime,Drama,Thriller"
606,Horrible Bosses 2,"$40,000,000","$105,945,357",WB,53200000.0,2014,18.421,6.2,2581,108.0,"Comedy,Crime"
607,Predators,"$40,000,000","$127,234,389",Fox,75200000.0,2010,16.216,6.1,1979,107.0,"Action,Adventure,Sci-Fi"
608,The Odd Life of Timothy Green,"$40,000,000","$55,249,159",BV,4200000.0,2012,9.216,6.7,605,105.0,"Comedy,Drama,Family"
609,Jersey Boys,"$40,000,000","$65,282,732",WB,20600000.0,2014,6.933,6.9,380,134.0,"Biography,Drama,Music"
610,Final Destination 5,"$40,000,000","$155,011,165",WB (NL),115300000.0,2011,13.392,6.0,1701,92.0,Horror
611,Widows,"$40,000,000","$73,866,088",Fox,33600000.0,2018,20.628,6.5,941,129.0,"Crime,Drama,Thriller"
613,Sex Tape,"$40,000,000","$126,069,509",Sony,87500000.0,2014,20.429,5.3,2684,94.0,"Comedy,Romance"
614,Scream 4,"$40,000,000","$95,989,590",W/Dim.,59000000.0,2011,16.082,6.2,1610,111.0,"Horror,Mystery"
615,Paul,"$40,000,000","$101,162,106",Uni.,60600000.0,2011,15.234,6.5,3017,104.0,"Adventure,Comedy,Sci-Fi"
617,The Guilt Trip,"$40,000,000","$41,294,674",Par.,4700000.0,2012,8.939,5.4,403,95.0,"Comedy,Drama"
618,Colombiana,"$40,000,000","$72,295,262",TriS,24300000.0,2011,10.584,6.5,1371,108.0,"Action,Drama,Thriller"
619,The Commuter,"$40,000,000","$101,985,431",LGF,83600000.0,2018,20.063,6.2,2394,105.0,"Action,Mystery,Thriller"
620,Patriots Day,"$40,000,000","$52,837,989",LGF,18700000.0,2016,15.435,6.9,1337,133.0,"Action,Crime,Drama"
622,Morning Glory,"$40,000,000","$59,795,070",Par.,29000000.0,2010,10.595,6.3,717,107.0,"Comedy,Drama,Romance"
623,Grudge Match,"$40,000,000","$69,807,260",WB,15100000.0,2013,7.918,6.0,711,113.0,"Comedy,Drama,Sport"
624,The Nut Job 2: Nutty by Nature,"$40,000,000","$57,438,389",ORF,36800000.0,2017,8.975,5.7,227,91.0,"Adventure,Animation,Comedy"
625,Resident Evil: The Final Chapter,"$40,000,000","$314,101,190",SGem,285400000.0,2017,0.844,5.9,1859,107.0,"Action,Horror,Sci-Fi"
626,The House,"$40,000,000","$31,192,425",WB (NL),8600000.0,2017,9.62,5.7,474,109.0,"Drama,Mystery,Thriller"
631,Season of the Witch,"$40,000,000","$91,126,600",Rela.,66800000.0,2011,12.535,5.3,1352,95.0,"Action,Adventure,Fantasy"
632,Mechanic: Resurrection,"$40,000,000","$109,738,840",LG/S,104500000.0,2016,16.302,5.6,1929,98.0,"Action,Adventure,Thriller"
633,Big Miracle,"$40,000,000","$25,268,680",Uni.,4600000.0,2012,6.76,6.6,250,107.0,"Biography,Drama,Family"
634,A Thousand Words,"$40,000,000","$20,790,486",P/DW,3600000.0,2012,8.017,6.1,685,91.0,"Comedy,Drama"
635,The Gunman,"$40,000,000","$18,594,227",ORF,13500000.0,2015,10.388,5.7,583,115.0,"Action,Crime,Drama"
637,Paranoia,"$40,000,000","$16,340,767",Rela.,6400000.0,2013,0.6,4.5,2,106.0,"Drama,Thriller"
665,The Hurricane Heist,"$40,000,000","$30,963,684",ENTMP,74954901.2673389,2018,13.335,5.4,476,103.0,"Action,Adventure,Crime"
666,Victor Frankenstein,"$40,000,000","$31,124,367",Fox,28500000.0,2015,9.061,5.8,1200,110.0,"Drama,Horror,Sci-Fi"
668,Snowpiercer,"$40,000,000","$88,069,880",RTWC,82200000.0,2014,14.735,6.8,4748,126.0,"Action,Drama,Sci-Fi"
669,Frankenweenie,"$39,000,000","$81,150,788",BV,46200000.0,2012,14.627,6.8,1685,87.0,"Animation,Comedy,Family"
670,Captain Underpants: The First Epic Movie,"$38,000,000","$126,577,874",Fox,51600000.0,2017,18.31,6.0,587,89.0,"Action,Animation,Comedy"
671,Paul Blart: Mall Cop 2,"$38,000,000","$107,650,646",Sony,36600000.0,2015,15.941,5.0,900,94.0,"Action,Comedy,Crime"
672,Why Him?,"$38,000,000","$117,425,156",Fox,57800000.0,2016,15.044,6.2,2494,111.0,Comedy
674,Water for Elephants,"$38,000,000","$116,809,717",Fox,58400000.0,2011,6.209,6.9,1627,120.0,"Drama,Romance"
675,Riddick,"$38,000,000","$94,763,758",Uni.,56300000.0,2013,17.434,6.2,2852,119.0,"Action,Adventure,Sci-Fi"
676,The 5th Wave,"$38,000,000","$111,336,398",Sony,75000000.0,2016,12.967,5.8,3657,112.0,"Action,Adventure,Drama"
677,What to Expect When You're Expecting,"$37,500,000","$88,473,016",LGF,43200000.0,2012,12.27,5.9,1130,110.0,"Comedy,Drama,Romance"
678,The Master,"$37,500,000","$50,647,416",Wein.,11900000.0,2012,12.829,7.1,1323,138.0,Drama
682,We're the Millers,"$37,000,000","$267,816,276",WB (NL),119600000.0,2013,14.746,6.8,5231,110.0,"Comedy,Crime"
683,Creed,"$37,000,000","$173,567,581",WB (NL),63800000.0,2015,16.356,7.3,4010,77.0,Horror
689,The Town,"$37,000,000","$152,566,881",WB,61800000.0,2010,13.476,7.1,2386,125.0,"Crime,Drama,Thriller"
691,Dolphin Tale,"$37,000,000","$96,068,724",WB,23100000.0,2011,10.679,6.8,327,113.0,"Drama,Family"
692,Game Night,"$37,000,000","$117,378,084",WB (NL),48500000.0,2018,19.459,6.9,2756,,Comedy
694,Cop Out,"$37,000,000","$55,909,910",WB,10700000.0,2010,8.82,5.4,796,107.0,"Action,Comedy,Crime"
695,The Rite,"$37,000,000","$97,143,987",WB (NL),63000000.0,2011,9.676,5.9,994,114.0,"Drama,Horror,Mystery"
696,Aloha,"$37,000,000","$25,387,091",Sony,5200000.0,2015,9.685,5.3,1226,105.0,"Comedy,Drama,Romance"
697,Hot Tub Time Machine,"$36,000,000","$65,967,750",MGM,14300000.0,2010,10.15,6.0,1383,101.0,"Comedy,Sci-Fi"
698,Dolphin Tale 2,"$36,000,000","$57,824,533",WB,15800000.0,2014,7.403,6.7,173,107.0,"Drama,Family"
699,Collateral Beauty,"$36,000,000","$85,309,093",WB (NL),57500000.0,2016,12.857,7.2,3270,97.0,"Drama,Romance"
701,There Be Dragons,"$36,000,000","$4,020,990",Gold.,74954901.2673389,2011,7.058,5.1,93,122.0,"Biography,Drama,War"
702,It,"$35,000,000","$697,457,969",WB (NL),372900000.0,2017,13.966,7.2,10931,135.0,"Horror,Thriller"
704,True Grit,"$35,000,000","$252,276,928",Par.,81000000.0,2010,13.118,7.2,2816,110.0,"Adventure,Drama,Western"
705,Identity Thief,"$35,000,000","$175,361,578",Uni.,39500000.0,2013,13.553,5.8,2230,111.0,"Adventure,Comedy,Crime"
706,Horrible Bosses,"$35,000,000","$212,417,601",WB (NL),92100000.0,2011,14.058,6.5,3842,98.0,"Comedy,Crime"
707,Trainwreck,"$35,000,000","$141,123,897",Uni.,30600000.0,2015,18.423,5.8,1731,125.0,"Comedy,Drama,Romance"
708,Saving Mr. Banks,"$35,000,000","$114,962,525",BV,34600000.0,2013,9.585,7.4,2050,125.0,"Biography,Comedy,Drama"
709,Secretariat,"$35,000,000","$60,376,247",BV,537000.0,2010,9.059,7.0,200,123.0,"Biography,Drama,Family"
710,Friends with Benefits,"$35,000,000","$146,595,891",SGem,93700000.0,2011,14.019,6.6,4637,109.0,"Comedy,Romance"
711,Neighbors 2: Sorority Rising,"$35,000,000","$108,757,621",Uni.,52600000.0,2016,17.662,5.7,2829,92.0,Comedy
712,Sicario: Day of the Soldado,"$35,000,000","$75,885,196",Sony,25800000.0,2018,29.725,6.7,1317,122.0,"Action,Crime,Drama"
713,Goosebumps 2: Haunted Halloween,"$35,000,000","$93,291,478",Sony,46600000.0,2018,20.238,5.6,428,90.0,"Adventure,Comedy,Family"
714,12 Strong,"$35,000,000","$71,118,378",WB,21600000.0,2018,13.183,5.6,1312,130.0,"Action,Drama,History"
715,Something Borrowed,"$35,000,000","$65,084,116",WB,21100000.0,2011,7.567,6.1,591,112.0,"Comedy,Drama,Romance"
716,In Time,"$35,000,000","$165,103,952",Fox,136400000.0,2011,18.912,6.8,6245,109.0,"Action,Crime,Drama"
717,J. Edgar,"$35,000,000","$84,606,030",WB,47600000.0,2011,8.628,6.2,1303,137.0,"Biography,Crime,Drama"
718,Mile 22,"$35,000,000","$66,295,121",STX,30200000.0,2018,21.246,6.0,920,94.0,"Action,Adventure,Thriller"
719,Hot Pursuit,"$35,000,000","$45,671,512",WB (NL),17100000.0,2015,9.607,5.6,1000,87.0,"Action,Comedy,Crime"
720,The Foreigner,"$35,000,000","$140,783,360",STX,111000000.0,2017,14.616,6.7,1086,113.0,"Action,Thriller"
726,Adrift,"$35,000,000","$57,897,191",STX,28500000.0,2018,0.6,7.0,1,,Drama
732,Underworld: Blood Wars,"$35,000,000","$81,209,222",SGem,50700000.0,2017,18.976,5.5,2318,91.0,"Action,Adventure,Fantasy"
733,Abduction,"$35,000,000","$86,648,359",LGF,54000000.0,2011,17.69,5.8,1791,106.0,"Action,Mystery,Thriller"
738,Alex Cross,"$35,000,000","$35,426,759",LG/S,8700000.0,2012,9.962,5.1,424,101.0,"Action,Crime,Mystery"
739,Whiskey Tango Foxtrot,"$35,000,000","$25,350,747",Par.,74954901.2673389,2016,8.564,6.2,596,112.0,"Biography,Comedy,Drama"
740,Hitman: Agent 47,"$35,000,000","$82,182,803",Fox,59900000.0,2015,14.082,5.6,1764,96.0,"Action,Adventure,Crime"
741,Premium Rush,"$35,000,000","$31,393,201",Sony,10800000.0,2012,12.484,6.2,1244,91.0,"Action,Crime,Thriller"
742,Broken City,"$35,000,000","$34,480,045",Fox,74954901.2673389,2013,13.646,5.9,814,109.0,"Crime,Drama,Thriller"
743,Furry Vengeance,"$35,000,000","$39,340,177",Sum.,18600000.0,2010,9.45,4.6,283,92.0,"Comedy,Family"
744,Parker,"$35,000,000","$48,543,388",FD,28600000.0,2013,14.95,5.8,1868,118.0,"Action,Crime,Thriller"
745,The Tree of Life,"$35,000,000","$61,721,826",FoxS,41000000.0,2011,11.569,6.6,1730,139.0,"Drama,Fantasy"
747,Unfinished Business,"$35,000,000","$13,214,051",Fox,4200000.0,2015,8.516,5.2,472,107.0,"Drama,Family"
754,The Walk,"$35,000,000","$61,492,104",TriS,51000000.0,2015,11.754,6.9,1906,89.0,"Crime,Thriller"
756,Mandela: Long Walk to Freedom,"$35,000,000","$29,890,402",Wein.,19000000.0,2013,8.262,6.9,319,141.0,"Biography,Drama,History"
757,The Snowman,"$35,000,000","$43,226,146",Uni.,36400000.0,2017,14.581,5.1,1225,119.0,"Crime,Drama,Mystery"
758,Biutiful,"$35,000,000","$24,687,524",RAtt.,20000000.0,2011,7.697,7.2,546,148.0,"Drama,Romance"
759,A Hologram for the King,"$35,000,000","$11,846,010",RAtt.,74954901.2673389,2016,11.055,5.9,589,98.0,"Comedy,Drama,Romance"
760,Playing for Keeps,"$35,000,000","$2,000,000",FD,74954901.2673389,2012,7.778,5.6,420,105.0,"Comedy,Romance,Sport"
761,The Darkest Hour,"$34,800,000","$62,831,715",Sum.,43200000.0,2011,10.73,4.9,735,89.0,"Action,Adventure,Horror"
763,Baby Driver,"$34,000,000","$228,104,185",TriS,119100000.0,2017,22.895,7.4,8034,113.0,"Action,Crime,Drama"
764,The Maze Runner,"$34,000,000","$348,319,861",Fox,245900000.0,2014,36.955,7.1,10626,113.0,"Action,Mystery,Sci-Fi"
765,The Longest Ride,"$34,000,000","$63,802,928",Fox,25500000.0,2015,11.168,7.5,1908,123.0,"Drama,Romance"
766,The Darkest Minds,"$34,000,000","$38,361,428",Fox,28400000.0,2018,23.967,6.8,1158,104.0,"Action,Adventure,Drama"
767,Mike and Dave Need Wedding Dates,"$33,000,000","$75,898,100",Fox,31100000.0,2016,11.676,6.0,1552,98.0,"Adventure,Comedy,Romance"
768,Step Up Revolution,"$33,000,000","$165,552,290",LG/S,105400000.0,2012,10.925,6.8,1252,99.0,"Drama,Music,Romance"
769,Bridesmaids,"$32,500,000","$289,632,023",Uni.,119300000.0,2011,9.805,6.5,2783,125.0,"Comedy,Romance"
770,The Big Wedding,"$32,500,000","$48,425,971",LGF,24700000.0,2013,11.231,5.8,678,89.0,"Comedy,Drama,Romance"
771,Wanderlust,"$32,500,000","$24,159,934",Uni.,4200000.0,2012,9.896,5.4,693,,Fantasy
776,Takers,"$32,000,000","$70,587,268",SGem,11300000.0,2010,8.969,6.2,605,107.0,"Action,Crime,Thriller"
777,Source Code,"$32,000,000","$140,428,499",Sum.,92600000.0,2011,13.495,7.2,4529,93.0,"Action,Drama,Sci-Fi"
778,I Feel Pretty,"$32,000,000","$91,553,797",STX,45700000.0,2018,16.298,6.4,1088,110.0,"Comedy,Romance"
779,"Big Mommas: Like Father, Like Son","$32,000,000","$82,332,450",Fox,44800000.0,2011,16.024,5.5,623,107.0,"Action,Comedy,Crime"
780,The Incredible Burt Wonderstone,"$32,000,000","$27,392,609",WB (NL),4900000.0,2013,9.362,5.4,920,100.0,"Adventure,Comedy,Fantasy"
781,Going the Distance,"$32,000,000","$43,603,990",WB (NL),24200000.0,2010,8.281,6.0,394,102.0,"Comedy,Romance"
783,Repo Men,"$32,000,000","$18,195,238",Uni.,4600000.0,2010,12.437,6.2,976,111.0,"Action,Crime,Sci-Fi"
784,Flight,"$31,000,000","$160,558,438",Par.,68000000.0,2012,11.692,6.7,3582,138.0,"Drama,Thriller"
786,The Grand Budapest Hotel,"$31,000,000","$163,981,261",FoxS,115500000.0,2014,18.31,8.0,8091,99.0,"Adventure,Comedy,Crime"
787,Vacation,"$31,000,000","$102,306,500",WB (NL),46000000.0,2015,14.227,6.2,1934,99.0,"Adventure,Comedy"
788,Extraordinary Measures,"$31,000,000","$15,826,984",CBS,3100000.0,2010,6.3,6.3,153,106.0,Drama
789,Crazy Rich Asians,"$30,000,000","$238,099,711",WB,64000000.0,2018,17.969,7.1,1496,120.0,"Comedy,Romance"
790,The Vow,"$30,000,000","$197,618,160",SGem,71100000.0,2012,13.046,7.1,2409,104.0,"Drama,Romance"
791,Sisters,"$30,000,000","$106,030,660",Uni.,18000000.0,2015,10.993,5.9,922,118.0,Comedy
797,Looper,"$30,000,000","$170,466,405",TriS,110000000.0,2012,16.779,6.8,6723,113.0,"Action,Crime,Drama"
798,Warm Bodies,"$30,000,000","$115,121,608",LG/S,50600000.0,2013,13.259,6.3,4109,98.0,"Comedy,Horror,Romance"
799,The Nut Job,"$30,000,000","$122,529,966",ORF,56600000.0,2014,10.501,5.6,529,85.0,"Adventure,Animation,Comedy"
800,Hope Springs,"$30,000,000","$133,085,295",Sony,50700000.0,2012,8.313,6.1,429,100.0,"Comedy,Drama,Romance"
801,Midnight in Paris,"$30,000,000","$162,502,774",SPC,94300000.0,2011,13.171,7.5,3965,75.0,"Comedy,Documentary,Drama"
803,Darkest Hour,"$30,000,000","$150,807,172",Focus,94400000.0,2017,15.331,7.3,2715,125.0,"Biography,Drama,History"
805,Life of the Party,"$30,000,000","$65,759,911",WB (NL),12800000.0,2018,13.696,6.2,435,84.0,"Comedy,Drama"
809,Letters to Juliet,"$30,000,000","$82,148,538",Sum.,26100000.0,2010,9.394,6.9,1706,105.0,"Adventure,Comedy,Drama"
810,Southpaw,"$30,000,000","$94,156,456",Wein.,39500000.0,2015,25.305,7.4,3424,124.0,"Drama,Sport"
811,Atomic Blonde,"$30,000,000","$98,345,423",Focus,48300000.0,2017,21.662,6.3,3645,115.0,"Action,Mystery,Thriller"
812,Sicario,"$30,000,000","$84,393,749",LGF,38000000.0,2015,20.468,7.3,4475,121.0,"Action,Crime,Drama"
814,Den of Thieves,"$30,000,000","$80,131,391",STX,35600000.0,2018,22.738,6.6,1244,140.0,"Action,Crime,Drama"
815,The Three Stooges,"$30,000,000","$54,052,249",Fox,10500000.0,2012,9.358,5.1,215,92.0,"Comedy,Family"
817,John Wick,"$30,000,000","$76,235,001",LG/S,45700000.0,2014,78.123,7.2,10081,101.0,"Action,Crime,Thriller"
818,The Age of Adaline,"$30,000,000","$68,984,536",LGF,23000000.0,2015,8.559,7.4,3853,112.0,"Drama,Fantasy,Romance"
819,The Cabin in the Woods,"$30,000,000","$70,689,968",LGF,24400000.0,2012,15.336,6.5,4185,95.0,Horror
821,Hanna,"$30,000,000","$65,343,694",Focus,23500000.0,2011,9.709,6.6,1944,111.0,"Action,Drama,Thriller"
822,The 15:17 to Paris,"$30,000,000","$56,096,200",WB,20800000.0,2018,11.576,5.3,799,94.0,"Biography,Drama,Thriller"
823,Larry Crowne,"$30,000,000","$61,449,135",Uni.,36400000.0,2011,7.261,5.8,676,98.0,"Comedy,Drama,Romance"
824,Entourage,"$30,000,000","$46,438,538",WB,16900000.0,2015,13.802,6.2,647,104.0,Comedy
825,The Five-Year Engagement,"$30,000,000","$61,623,819",Uni.,25100000.0,2012,10.729,5.8,742,124.0,"Comedy,Romance"
826,Winnie the Pooh,"$30,000,000","$50,145,607",BV,23200000.0,2011,11.147,6.9,444,63.0,"Adventure,Animation,Comedy"
827,White Boy Rick,"$30,000,000","$25,947,983",Studio 8,1900000.0,2018,13.794,6.3,277,111.0,"Crime,Drama"
828,Sanctum,"$30,000,000","$108,957,098",Uni.,85400000.0,2011,7.457,5.9,515,108.0,"Adventure,Drama,Thriller"
829,The Next Three Days,"$30,000,000","$67,255,916",LGF,46300000.0,2010,11.147,7.0,1469,133.0,"Action,Crime,Drama"
830,Proud Mary,"$30,000,000","$21,709,539",SGem,876000.0,2018,9.371,5.5,259,89.0,"Action,Crime,Drama"
831,Runner Runner,"$30,000,000","$60,512,680",Fox,43400000.0,2013,10.442,5.6,761,88.0,"Crime,Thriller"
832,Baahubali 2: The Conclusion,"$30,000,000","$263,502,914",GrtIndia,234000000.0,2017,10.406,7.0,252,167.0,"Action,Drama"
833,Steve Jobs,"$30,000,000","$35,579,007",Uni.,16700000.0,2015,8.895,6.8,2572,122.0,"Biography,Drama"
835,The Last Stand,"$30,000,000","$48,330,757",LGF,36300000.0,2013,15.894,5.9,1692,107.0,"Action,Thriller"
837,Dead Man Down,"$30,000,000","$19,599,974",FD,7200000.0,2013,10.349,6.0,866,118.0,"Action,Crime,Drama"
838,The Lost City of Z,"$30,000,000","$17,121,823",BST,10700000.0,2017,11.048,6.2,1397,141.0,"Adventure,Biography,Drama"
840,The Space Between Us,"$30,000,000","$16,481,405",STX,6900000.0,2017,14.437,7.1,1455,120.0,"Adventure,Drama,Romance"
841,Kin,"$30,000,000","$10,096,821",LGF,4300000.0,2018,23.805,6.2,289,45.0,"Drama,Music"
843,Stronger,"$30,000,000","$8,786,752",RAtt.,4200000.0,2017,7.836,7.0,782,119.0,"Biography,Drama"
846,Machine Gun Preacher,"$30,000,000","$3,721,988",Rela.,2800000.0,2011,9.12,6.5,477,129.0,"Action,Biography,Crime"
847,Bilal: A New Breed of Hero,"$30,000,000","$648,599",VE,1700000.0,2018,2.707,6.8,54,105.0,"Action,Adventure,Animation"
848,Collide,"$29,200,000","$5,466,698",ORF,2500000.0,2017,9.035,5.6,331,,Action
850,Pitch Perfect 2,"$29,000,000","$287,625,468",Uni.,103200000.0,2015,18.469,6.8,3599,115.0,"Comedy,Music"
