,movie,production_budget,worldwide_gross,studio,foreign_gross,year,popularity,vote_average,vote_count,runtime_minutes,genres
280,A Good Day to Die Hard,"$92,000,000","$304,249,198",Fox,237300000.0,2013,15.858,5.2,4437,98.0,"Action,Thriller"
281,The Secret Life of Walter Mitty,"$91,000,000","$187,861,183",Fox,129900000.0,2013,10.743,7.1,4859,114.0,"Adventure,Comedy,Drama"
282,Jumanji: Welcome to the Jungle,"$90,000,000","$964,496,193",Sony,557600000.0,2017,20.395,6.7,7213,119.0,"Action,Adventure,Comedy"
284,Rio,"$90,000,000","$487,519,809",Fox,341000000.0,2011,14.695,6.6,3730,96.0,"Adventure,Animation,Comedy"
287,The Girl with the Dragon Tattoo,"$90,000,000","$239,373,970",MBox,94300000.0,2010,17.823,7.3,3971,158.0,"Crime,Drama,Mystery"
288,Alvin and the Chipmunks: The Road Chip,"$90,000,000","$249,517,956",Fox,148900000.0,2015,14.973,5.8,852,92.0,"Adventure,Animation,Comedy"
289,Pixels,"$90,000,000","$244,041,804",Sony,166100000.0,2015,2.172,7.1,35,105.0,"Action,Comedy,Sci-Fi"
291,Percy Jackson: Sea of Monsters,"$90,000,000","$200,859,554",Fox,131300000.0,2013,15.762,5.9,3109,106.0,"Adventure,Family,Fantasy"
292,Now You See Me 2,"$90,000,000","$328,325,007",LG/S,269800000.0,2016,25.805,6.8,6744,129.0,"Action,Adventure,Comedy"
293,Tomb Raider,"$90,000,000","$273,477,501",WB,216400000.0,2018,24.968,6.3,4310,119.0,"Action,Adventure,Fantasy"
294,The Nutcracker in 3D,"$90,000,000","$20,466,016",Free,16000000.0,2010,7.566,5.5,97,110.0,"Action,Family,Fantasy"
295,Divergent,"$85,000,000","$276,014,965",LG/S,137900000.0,2014,16.982,6.9,8279,139.0,"Action,Adventure,Mystery"
296,Hotel Transylvania,"$85,000,000","$378,505,812",Sony,210100000.0,2012,15.318,6.9,5013,91.0,"Animation,Comedy,Family"
297,Safe House,"$85,000,000","$208,542,162",Uni.,81700000.0,2012,13.116,6.4,1997,,Action
300,Tower Heist,"$85,000,000","$150,422,946",Uni.,74900000.0,2011,12.213,6.0,1592,104.0,"Action,Comedy,Crime"
301,Mirror Mirror,"$85,000,000","$173,613,482",Rela.,118100000.0,2012,13.221,5.8,2099,106.0,"Adventure,Comedy,Drama"
302,Arthur Christmas,"$85,000,000","$149,717,124",Sony,101000000.0,2011,12.981,6.7,692,97.0,"Adventure,Animation,Comedy"
303,Cats & Dogs: The Revenge of Kitty Galore,"$85,000,000","$113,026,383",WB,68900000.0,2010,10.544,4.9,273,82.0,"Action,Comedy,Family"
304,The Greatest Showman,"$84,000,000","$386,665,550",Fox,260700000.0,2017,22.009,8.0,5197,105.0,"Biography,Drama,Musical"
